Caller ID,Receiver ID,Call Duration (s),Carrier,Cost ($),Network Latency (ms),Time of Day,Timestamp
8155439633,3481267506,229,Vodafone,9.16,274.08,Peak,2025-03-17 14:41:45.628962
4856759264,3527974403,573,T-Mobile,34.38,217.45,Peak,2025-03-03 05:41:45.628962
3695905738,2678492387,23,AT&T,1.15,158.02,Peak,2025-04-01 18:41:45.628962
6615621475,5626958256,122,Verizon,8.54,152.04,Off-Peak,2025-03-25 11:41:45.628962
2370219783,9482470410,242,Jio,7.26,297.31,Off-Peak,2025-03-28 03:41:45.628962
8512436935,7728604904,79,Verizon,5.53,198.32,Off-Peak,2025-03-27 12:41:45.628962
7456383925,5319327967,33,Jio,0.99,84.66,Peak,2025-03-10 23:41:45.628962
1164089173,1715992958,586,T-Mobile,35.16,145.79,Peak,2025-03-28 08:41:45.628962
7708604868,3451979032,16,Jio,0.48,57.81,Peak,2025-03-17 10:41:45.628962
5512065964,2268601201,60,Vodafone,2.4,59.38,Peak,2025-03-22 16:41:45.628962
5570827923,2105508227,233,Vodafone,9.32,140.76,Peak,2025-03-31 12:41:45.628962
1512244542,8937164540,29,Verizon,2.03,64.34,Off-Peak,2025-03-29 07:41:45.628962
5178119333,1142552351,274,Verizon,19.18,250.97,Peak,2025-03-31 10:41:45.628962
7418952154,9369833532,570,Verizon,39.9,148.07,Off-Peak,2025-03-03 11:41:45.628962
8276846642,4774549918,158,Jio,4.74,256.91,Peak,2025-03-16 01:41:45.628962
8563355746,6646108488,580,Vodafone,23.2,215.21,Off-Peak,2025-03-22 05:41:45.628962
4375183109,9339371313,181,Verizon,12.67,281.3,Peak,2025-03-04 04:41:45.628962
5231457865,9766289311,144,Jio,4.32,68.32,Peak,2025-03-18 14:41:45.628962
3624888102,5051264810,395,Verizon,27.65,192.24,Peak,2025-03-17 04:41:45.628962
7955505083,7546348795,63,Verizon,4.41,229.19,Peak,2025-03-29 06:41:45.628962
9013376741,4558421090,577,AT&T,28.85,224.92,Off-Peak,2025-03-23 20:41:45.628962
6802432384,8516145911,232,AT&T,11.6,228.14,Off-Peak,2025-03-26 19:41:45.628962
1876799601,5054903648,183,Verizon,12.81,56.44,Peak,2025-03-20 04:41:45.628962
7065468204,1555220341,380,Vodafone,15.2,148.11,Peak,2025-03-06 23:41:45.628962
3222412358,6456624275,415,T-Mobile,24.9,191.85,Peak,2025-03-05 07:41:45.628962
3172473296,9100068545,121,Jio,3.63,63.03,Peak,2025-03-30 01:41:45.628962
3329673833,2612362010,189,T-Mobile,11.34,129.32,Off-Peak,2025-03-20 00:41:45.628962
4604121871,7104705765,56,T-Mobile,3.36,178.06,Off-Peak,2025-03-14 12:41:45.628962
8357608246,1014849367,63,Vodafone,2.52,220.24,Off-Peak,2025-03-13 01:41:45.628962
4926425996,4067839775,236,AT&T,11.8,243.87,Off-Peak,2025-03-23 18:41:45.628962
4407948108,5275278078,207,AT&T,10.35,125.93,Peak,2025-03-25 18:41:45.628962
4279944253,9868130344,39,AT&T,1.95,143.8,Peak,2025-03-19 16:41:45.628962
3282721521,4815861570,449,T-Mobile,26.94,203.14,Peak,2025-03-07 14:41:45.628962
2676266837,7813141677,512,AT&T,25.6,134.45,Off-Peak,2025-03-06 23:41:45.628962
4796959018,4666918375,260,AT&T,13.0,189.13,Peak,2025-03-24 20:41:45.628962
5165288010,8309037351,452,AT&T,22.6,188.83,Peak,2025-03-27 10:41:45.628962
9200175114,1209099915,442,Verizon,30.94,224.41,Peak,2025-03-25 03:41:45.628962
8748528953,5872847882,125,Verizon,8.75,236.14,Peak,2025-03-05 15:41:45.628962
2993049860,9239534248,428,Verizon,29.96,279.06,Off-Peak,2025-03-23 05:41:45.628962
4891380862,5751307552,395,AT&T,19.75,88.23,Peak,2025-03-31 08:41:45.628962
2672776049,2303315555,218,AT&T,10.9,175.23,Off-Peak,2025-03-28 05:41:45.628962
7311388707,2899744948,178,AT&T,8.9,288.26,Peak,2025-03-15 02:41:45.628962
3823951293,6336477089,359,Jio,10.77,230.12,Off-Peak,2025-03-30 03:41:45.628962
8284790228,1772688309,478,AT&T,23.9,226.51,Peak,2025-04-01 14:41:45.628962
3236147500,9660355790,75,T-Mobile,4.5,218.06,Peak,2025-03-27 14:41:45.628962
3346305335,2026710056,579,T-Mobile,34.74,207.23,Off-Peak,2025-03-02 17:41:45.628962
9811036898,3449800499,229,Verizon,16.03,192.52,Off-Peak,2025-03-22 11:41:45.628962
1676489066,2162992725,481,Vodafone,19.24,51.48,Off-Peak,2025-03-27 13:41:45.628962
6249974080,7502264247,530,Verizon,37.1,185.87,Off-Peak,2025-03-26 20:41:45.628962
1081120706,6644867349,578,T-Mobile,34.68,202.95,Off-Peak,2025-03-25 08:41:45.628962
4260007772,9959467204,555,Vodafone,22.2,266.88,Peak,2025-03-30 02:41:45.628962
6763612640,3865742215,315,T-Mobile,18.9,75.36,Peak,2025-03-15 22:41:45.628962
5040782586,8451800656,215,Vodafone,8.6,168.47,Peak,2025-03-05 22:41:45.628962
3514553928,7618885815,228,Vodafone,9.12,229.61,Peak,2025-03-16 09:41:45.628962
6128220598,1053846181,216,Jio,6.48,135.21,Peak,2025-03-13 20:41:45.628962
8235427788,7706552732,454,Vodafone,18.16,278.15,Peak,2025-03-15 11:41:45.628962
3207086928,7777213358,147,T-Mobile,8.82,71.84,Off-Peak,2025-03-26 08:41:45.628962
3683292638,6459016861,548,AT&T,27.4,141.38,Off-Peak,2025-03-09 12:41:45.628962
4657118676,2091430245,568,T-Mobile,34.08,55.5,Off-Peak,2025-03-14 07:41:45.628962
3352245179,6222191812,592,Jio,17.76,279.72,Peak,2025-03-21 01:41:45.628962
4447576467,1402784093,14,Jio,0.42,180.94,Peak,2025-03-30 03:41:45.628962
6354531887,1203290272,312,AT&T,15.6,200.23,Off-Peak,2025-03-10 21:41:45.628962
6583200639,3982700257,477,Jio,14.31,246.28,Off-Peak,2025-03-30 19:41:45.628962
6358293963,8735683355,12,AT&T,0.6,73.91,Off-Peak,2025-03-08 02:41:45.628962
8917460957,3736434252,239,T-Mobile,14.34,205.11,Peak,2025-03-19 11:41:45.628962
7066266203,8127360007,568,Jio,17.04,119.98,Peak,2025-03-15 02:41:45.628962
3268049732,5322846791,513,Vodafone,20.52,123.28,Off-Peak,2025-03-16 00:41:45.628962
4291727059,3640574298,383,Verizon,26.81,213.89,Off-Peak,2025-03-17 18:41:45.628962
9986639669,4220119149,330,T-Mobile,19.8,131.54,Peak,2025-03-26 07:41:45.628962
4003969615,6619156030,565,AT&T,28.25,97.79,Off-Peak,2025-03-30 07:41:45.628962
5973031623,1731370410,425,Vodafone,17.0,242.59,Peak,2025-03-21 00:41:45.628962
6486323751,7934496138,226,Vodafone,9.04,258.51,Peak,2025-03-02 20:41:45.628962
5228797549,2680322597,529,Verizon,37.03,258.54,Off-Peak,2025-03-25 10:41:45.628962
5990972027,8333981479,67,Vodafone,2.68,192.78,Off-Peak,2025-03-17 18:41:45.628962
1442179636,9278656033,320,Verizon,22.4,107.79,Off-Peak,2025-03-22 12:41:45.628962
8207419526,7586162289,597,Vodafone,23.88,78.96,Peak,2025-03-25 22:41:45.628962
7096724209,1802097871,138,T-Mobile,8.28,68.82,Off-Peak,2025-03-14 21:41:45.628962
5241817880,4327141397,365,Jio,10.95,253.58,Peak,2025-03-18 12:41:45.628962
4506663862,5338367263,493,Verizon,34.51,65.41,Peak,2025-03-29 18:41:45.628962
8176873350,6086618151,314,Vodafone,12.56,286.51,Off-Peak,2025-03-08 05:41:45.628962
5273486608,3960676860,518,Verizon,36.26,191.04,Peak,2025-03-23 21:41:45.628962
3477240805,8023056294,155,T-Mobile,9.3,152.51,Off-Peak,2025-03-07 02:41:45.628962
1415656981,4672699313,185,Verizon,12.95,264.85,Peak,2025-03-09 01:41:45.628962
1726223415,2348491727,249,Jio,7.47,146.07,Peak,2025-03-25 07:41:45.628962
7432964378,7074372043,69,Jio,2.07,279.35,Off-Peak,2025-03-10 07:41:45.628962
6458775822,9155166687,585,Jio,17.55,180.84,Peak,2025-03-13 02:41:45.628962
8503626524,1847481611,443,AT&T,22.15,79.33,Peak,2025-03-06 18:41:45.628962
4854571572,3084886432,279,Vodafone,11.16,299.27,Off-Peak,2025-03-10 11:41:45.628962
3893394863,7023619754,317,AT&T,15.85,212.84,Peak,2025-03-09 15:41:45.628962
8260912559,9796676736,58,Verizon,4.06,97.75,Peak,2025-03-18 09:41:45.628962
5831842781,1695581350,383,Verizon,26.81,67.33,Peak,2025-03-15 18:41:45.628962
4589098388,4683311113,415,Jio,12.45,279.66,Peak,2025-03-03 16:41:45.628962
3192236578,8125949509,219,Vodafone,8.76,235.46,Off-Peak,2025-03-14 05:41:45.628962
7585531134,1194399784,550,Jio,16.5,256.21,Off-Peak,2025-03-06 08:41:45.628962
3872852107,4846964540,308,AT&T,15.4,181.67,Peak,2025-03-04 02:41:45.628962
5919491525,9192628294,519,Verizon,36.33,178.86,Peak,2025-03-03 01:41:45.628962
5985765930,4016434870,253,T-Mobile,15.18,113.17,Off-Peak,2025-03-17 06:41:45.628962
8825913968,4696421135,168,Jio,5.04,267.35,Peak,2025-03-15 01:41:45.628962
7997114321,9159865818,167,Jio,5.01,124.16,Off-Peak,2025-03-14 18:41:45.628962
7388575748,1085539672,200,AT&T,10.0,170.86,Off-Peak,2025-03-30 05:41:45.628962
7985289274,8825432812,156,T-Mobile,9.36,219.63,Peak,2025-03-24 18:41:45.628962
6183079785,4283402451,75,Vodafone,3.0,287.22,Off-Peak,2025-03-21 14:41:45.628962
2267284397,7890370428,301,AT&T,15.05,209.26,Peak,2025-03-04 23:41:45.628962
3766534046,2467610476,445,AT&T,22.25,253.1,Off-Peak,2025-03-11 00:41:45.628962
9419760539,9170131234,83,T-Mobile,4.98,51.21,Peak,2025-03-08 08:41:45.628962
8458373235,6561721532,435,Verizon,30.45,108.63,Off-Peak,2025-03-03 07:41:45.628962
8007203335,6261438923,340,Verizon,23.8,268.77,Off-Peak,2025-03-23 06:41:45.628962
3580889535,9613150346,202,Vodafone,8.08,210.55,Off-Peak,2025-03-28 17:41:45.628962
5373078249,6586277432,410,T-Mobile,24.6,192.97,Peak,2025-03-12 15:41:45.628962
5034048169,9929427894,142,Jio,4.26,238.94,Peak,2025-03-18 12:41:45.628962
5516701667,2369692042,218,AT&T,10.9,93.8,Peak,2025-03-02 18:41:45.628962
7425142382,9648809738,239,Verizon,16.73,281.64,Off-Peak,2025-03-03 13:41:45.628962
8619487094,3711769481,433,AT&T,21.65,187.39,Off-Peak,2025-03-28 03:41:45.628962
9912890576,2326147213,509,AT&T,25.45,268.1,Peak,2025-03-28 08:41:45.628962
8434274662,3450675574,140,T-Mobile,8.4,267.17,Peak,2025-03-09 03:41:45.628962
3149490444,7433155946,531,Verizon,37.17,171.44,Peak,2025-03-20 18:41:45.628962
1538942983,8750619874,44,Vodafone,1.76,202.07,Off-Peak,2025-03-15 02:41:45.628962
2585894074,8496102778,481,Vodafone,19.24,250.06,Off-Peak,2025-03-15 17:41:45.628962
4895384618,9646641528,390,Verizon,27.3,180.39,Peak,2025-03-21 05:41:45.628962
7911014876,1532848007,191,AT&T,9.55,88.82,Off-Peak,2025-03-16 03:41:45.628962
7109121866,6706200540,521,Vodafone,20.84,110.5,Off-Peak,2025-03-18 10:41:45.628962
9377647079,5460001353,293,AT&T,14.65,78.0,Peak,2025-03-18 22:41:45.628962
2767027089,7296947209,114,T-Mobile,6.84,91.63,Off-Peak,2025-03-05 23:41:45.628962
9138877896,8629260991,435,Vodafone,17.4,128.43,Off-Peak,2025-03-09 05:41:45.628962
4927834056,9326591314,563,T-Mobile,33.78,228.78,Off-Peak,2025-03-25 07:41:45.628962
7202922044,8375785121,158,T-Mobile,9.48,129.46,Off-Peak,2025-03-23 02:41:45.628962
7305974684,7900367910,226,AT&T,11.3,207.14,Off-Peak,2025-03-02 19:41:45.628962
1152551793,5568102839,347,T-Mobile,20.82,225.74,Off-Peak,2025-03-23 09:41:45.628962
5264609190,5365290358,369,AT&T,18.45,127.39,Peak,2025-03-07 00:41:45.628962
3697053856,1654854629,70,Verizon,4.9,218.6,Off-Peak,2025-03-05 09:41:45.628962
9780834605,8022669320,255,Verizon,17.85,161.17,Off-Peak,2025-03-27 16:41:45.628962
1760087574,7110004741,264,T-Mobile,15.84,295.34,Peak,2025-03-27 09:41:45.631989
7699409340,4977831396,288,Jio,8.64,157.98,Off-Peak,2025-03-23 01:41:45.631989
9834583056,5583625566,322,Verizon,22.54,250.37,Off-Peak,2025-03-29 10:41:45.631989
3176605306,9440579190,155,Jio,4.65,66.18,Peak,2025-03-25 23:41:45.631989
1896484052,7587763247,298,Verizon,20.86,218.53,Peak,2025-03-08 02:41:45.631989
7018041673,5071673901,274,AT&T,13.7,214.87,Off-Peak,2025-03-12 06:41:45.631989
1844599591,8077818137,351,AT&T,17.55,228.22,Peak,2025-03-05 02:41:45.631989
6348133134,1711797370,197,Vodafone,7.88,290.4,Off-Peak,2025-03-08 00:41:45.631989
2103413776,9008809317,68,Vodafone,2.72,225.37,Peak,2025-03-06 07:41:45.631989
6094684206,6789953642,124,T-Mobile,7.44,267.69,Off-Peak,2025-03-06 19:41:45.631989
3512629335,6455546232,364,T-Mobile,21.84,298.79,Off-Peak,2025-03-12 15:41:45.631989
9527980126,2295760172,28,T-Mobile,1.68,288.53,Peak,2025-03-30 17:41:45.631989
3259401547,7229023049,19,Jio,0.57,288.72,Peak,2025-03-10 19:41:45.631989
7045331555,8049891287,132,Vodafone,5.28,174.82,Peak,2025-03-30 19:41:45.631989
9136752173,9408515446,111,Verizon,7.77,296.67,Peak,2025-03-18 05:41:45.631989
